,make,model,model_year,gear,fuel_type,engine_cc,mileage_km,price (Rs.)
4183,Toyota, VITZ,2008,Automatic,Petrol,1000,135000,4690000
4184,Toyota, Premio,2013,Automatic,Petrol,1500,1,9975000
4185,Toyota, Vitz,2008,Automatic,Petrol,1000,96000,4790000
4188,Toyota, Axio,2014,Automatic,Petrol,1500,128000,8100000
4189,Toyota, Kr42,2000,Automatic,Diesel,2800,170000,540500
4191,Toyota, Allion,2008,Automatic,Petrol,1500,133000,6900000
4192,Toyota, Axio,2016,Automatic,Petrol,1500,78000,10690000
4193,Toyota, Axio,2014,Automatic,Petrol,1500,82000,7700000
4194,Toyota, Vitz,2007,Automatic,Petrol,1000,98000,5290000
4196,Toyota, Dyna,2002,Automatic,Diesel,4890,267000,3600000
4197,Toyota, Prius,2011,Automatic,Petrol,1799,185000,6575000
4198,Toyota, IST,2007,Automatic,Petrol,1500,81523,6750000
4199,Toyota, Vitz,2008,Automatic,Petrol,1000,90000,5150000
4200,Toyota, Vitz,2007,Automatic,Petrol,1500,60000,5800000
4201,Toyota, Allion,2010,Automatic,Petrol,1500,106000,9100000
4202,Toyota, Allion,2007,Automatic,Petrol,1500,146700,7200000
4203,Toyota, Vitz,2008,Automatic,Petrol,1000,65000,4990000
4205,Toyota, Vitz,2010,Automatic,Petrol,1000,139000,5500000
4206,Toyota, Yaris,2007,Manual,Petrol,1300,100000,4650000
4207,Toyota, Vitz,2015,Automatic,Petrol,1000,72000,6500000
4208,Toyota, KR42,2006,Automatic,Petrol,1880,172000,5550000
4209,Toyota, IST,2003,Automatic,Petrol,1300,108000,4175000
4210,Toyota, Aqua,2012,Automatic,Petrol,1500,94300,5490000
4211,Toyota, Premio,2010,Automatic,Petrol,1490,95000,9000000
4213,Toyota, Vitz,2017,Automatic,Petrol,1000,10000,7500000
4214,Toyota, Vitz,2016,Automatic,Petrol,1000,20000,6950000
4215,Toyota, CHR,2017,Automatic,Petrol,1200,59500,10850000
4216,Toyota, Passo,2018,Automatic,Petrol,1000,37000,7200000
4221,Toyota, PRIUS,2011,Automatic,Petrol,1800,120520,6525000
4222,Toyota, Axio,2013,Automatic,Petrol,1500,103000,7950000
4227,Toyota, Wigo,2020,Automatic,Petrol,1000,3200,6200000
4228,Toyota, Premio,2005,Automatic,Petrol,1500,75930,6950000
4229,Toyota, Vitz,2008,Automatic,Petrol,1000,100600,4600000
4230,Toyota, Premio,2011,Automatic,Petrol,1500,112500,8250000
4232,Toyota, KDH,2006,Automatic,Diesel,2490,178000,7800000
4233,Toyota, Kdh,2006,Automatic,Diesel,2980,180000,10300000
4234,Toyota, ROOMY,2017,Automatic,Petrol,1000,32000,9475000
4235,Toyota, Aqua,2015,Automatic,Petrol,1500,33245,7475000
4237,Toyota, Avanza,2011,Manual,Petrol,1300,141000,5175000
4239,Toyota, Prius,2008,Automatic,Petrol,1500,147500,5100000
4242,Toyota, Vitz,2007,Automatic,Petrol,1000,48000,4550000
4243,Toyota, Axio,2008,Automatic,Petrol,1500,130000,6300000
4244,Toyota, Prius,2013,Automatic,Petrol,1800,97000,7600000
4245,Toyota, Allion,2011,Automatic,Petrol,1500,120000,9875000
4246,Toyota, Vitz,2015,Automatic,Petrol,1000,48000,6500000
4248,Toyota, Roomy,2018,Automatic,Petrol,1000,17000,6800000
4249,Toyota, Noah,2014,Automatic,Petrol,1800,120000,10700000
4250,Toyota, Axio,2016,Automatic,Petrol,1500,87500,9200000
4251,Toyota, Aqua,2013,Automatic,Petrol,1500,103000,5950000
4252,Toyota, Yaris,2012,Manual,Petrol,1300,96000,5450000
4253,Toyota, Premio,2009,Automatic,Petrol,1500,120000,8875000
4254,Toyota, AQUA,2016,Automatic,Petrol,1500,89000,6950000
4255,Toyota, Vitz,2016,Automatic,Petrol,1000,50000,7575000
4257,Toyota, Corolla,2007,Automatic,Petrol,1600,127000,6300000
4259,Toyota, Premio,2009,Automatic,Petrol,1500,112000,8875000
4260,Toyota, Allion,2009,Automatic,Petrol,1500,114000,7300000
4263,Toyota, Prius,2009,Automatic,Petrol,1790,118750,5500000
4264,Toyota, Axio,2014,Automatic,Petrol,1500,75600,7800000
4265,Toyota, Prius,2009,Automatic,Petrol,1500,137000,5975000
4266,Toyota, VITZ,2015,Automatic,Petrol,1000,62000,6800000
4267,Toyota, Prius,2014,Automatic,Petrol,1790,88000,8650000
4269,Toyota, Prius,2011,Automatic,Petrol,1800,195000,6250000
4271,Toyota, Corolla,2010,Automatic,Petrol,1598,60000,7375000
4272,Toyota, Aqua,2013,Automatic,Petrol,1500,111164,3390000
4273,Toyota, Corolla,2006,Automatic,Petrol,1500,168000,5600000
4274,Toyota, Aqua,2015,Automatic,Petrol,1500,67000,6950000
4275,Toyota, Yaris,2007,Manual,Petrol,1300,92000,4500000
4277,Toyota, Prius,2007,Automatic,Petrol,1490,138000,5440000
4278,Toyota, Premio,2011,Automatic,Petrol,1500,100000,6500000
4279,Toyota, Aqua,2013,Automatic,Petrol,1500,137000,6500000
4280,Toyota, Vitz,2016,Automatic,Petrol,1000,55350,6225000
4281,Toyota, Axio,2007,Automatic,Petrol,1490,100900,5850000
4282,Toyota, VITZ,2015,Automatic,Petrol,1000,65000,7150000
4283,Toyota, Axio,2008,Automatic,Petrol,1490,145000,5725000
4284,Toyota, PASSO,2017,Automatic,Petrol,1000,32000,6850000
4285,Toyota, VITZ,2016,Automatic,Petrol,1000,50000,7600000
4286,Toyota, Avanza,2007,Manual,Petrol,1300,131000,4225000
4287,Toyota, Raize,2019,Automatic,Petrol,1000,30000,9890000
4288,Toyota, Premio,2013,Automatic,Petrol,1500,114000,9800000
4289,Toyota, VITZ,2016,Automatic,Petrol,1000,49000,7550000
4290,Toyota, VITZ,2018,Automatic,Petrol,1000,60000,8550000
4292,Toyota, VITZ,2018,Automatic,Petrol,1000,35000,8600000
4294,Toyota, Vios,2006,Manual,Petrol,1500,143000,3900000
4295,Toyota, Allion,2005,Automatic,Petrol,1500,170000,6175000
4296,Toyota, VITZ,2015,Automatic,Petrol,990,103000,5700000
4297,Toyota, Aqua,2012,Automatic,Petrol,1500,124000,5600000
4299,Toyota, Prius,2014,Automatic,Petrol,1800,99000,8550000
4300,Toyota, Aqua,2014,Automatic,Petrol,1500,82000,5950000
4301,Toyota, Smart,2010,Manual,Diesel,3000,250000,7500000
4307,Toyota, Vitz,2005,Automatic,Petrol,1000,128000,4275000
4308,Toyota, Axio,2013,Automatic,Petrol,1500,155000,7450000
4309,Toyota, Axio,2014,Automatic,Petrol,1500,73000,7850000
4312,Toyota, KR42,2000,Automatic,Diesel,2180,230000,5370000
4313,Toyota, Land,2008,Automatic,Petrol,2700,116000,1900000
4314,Toyota, Vitz,2019,Automatic,Petrol,1000,17000,8200000
4315,Toyota, Axio,2015,Automatic,Petrol,1500,79000,9250000
4316,Toyota, Prius,2014,Automatic,Petrol,1800,142000,7950000
4317,Toyota, Axio,2014,Automatic,Petrol,1500,75500,7990000
4319,Toyota, Prius,2012,Automatic,Petrol,1800,120000,6975000
4320,Toyota, Aqua,2013,Automatic,Petrol,1500,37852,6800000
4322,Toyota, Allion,2003,Automatic,Petrol,1500,148000,5400000
4323,Toyota, Vitz,2017,Automatic,Petrol,990,56000,7590000
4324,Toyota, Vitz,2016,Automatic,Petrol,1000,68000,6550000
4325,Toyota, Vitz,2008,Automatic,Petrol,1000,1320000,4950000
4326,Toyota, Vitz,2018,Automatic,Petrol,1000,17500,7650000
4327,Toyota, Aqua,2013,Automatic,Petrol,1500,72000,5800000
4329,Toyota, Vitz,2009,Automatic,Petrol,1000,107000,4850000
4330,Toyota, AXIO,2014,Automatic,Petrol,1500,110000,7750000
4331,Toyota, Axio,2007,Manual,Petrol,1500,190000,5800000
4332,Toyota, Prius,2014,Automatic,Petrol,1800,169000,8250000
4333,Toyota, KDH,2008,Automatic,Diesel,2990,1970000,8850000
4335,Toyota, Allion,2003,Automatic,Petrol,1500,188000,5950000
4336,Toyota, Vitz,2015,Automatic,Petrol,1000,38000,6850000
4337,Toyota, Vitz,2019,Automatic,Petrol,990,19000,9290000
4338,Toyota, Prius,2008,Automatic,Petrol,1490,91000,4990000
4339,Toyota, Dolphin,2000,Manual,Diesel,1500,60000,3500000
4341,Toyota, Noah,2000,Automatic,Diesel,2180,279000,5000000
